id,land_number,land_url,land_area,land_holding_point_personal,land_holding_point_all,yfcase_id,created_at,updated_at,landRemarks,landPresentValue,landTotalArea,landAreaWidth,landAreaDepth
215, 939,"",35.00,1,5,162,2021-05-20 14:40:40.450339,2021-05-20 14:40:40.450339,"","","","",""
216,939-1,"",145.00,11,750,162,2021-05-20 14:40:40.456061,2021-05-20 14:40:40.456061,"","","","",""
217,174-38,"",92.00,1,3,161,2021-05-20 14:47:09.384785,2021-05-20 14:47:09.384785,"","","","",""
218,3099-33,"",897.00,1,100,160,2021-05-20 14:59:10.856829,2021-05-20 14:59:10.856829,"","","","",""
219,3102-58,"",424.00,136,5000000,160,2021-05-20 14:59:10.861669,2021-05-20 14:59:10.861669,"","","","",""
220,400,https://drive.google.com/drive/folders/1ih2wHD7x9KZPV66Y4uDi_CAEGM3BX_2u?usp=sharing,1151.00,83,10000,163,2021-06-03 09:27:08.314461,2021-06-05 03:42:04.921675,"","","","",""
202,296,https://drive.google.com/drive/folders/1Rc8obK800UwtGjazq8scCwuE2F7jAXvx?usp=sharing,95.00,1,4,148,2021-04-28 03:37:32.048462,2021-06-05 03:44:11.321137,"","","","",""
203,185,https://drive.google.com/drive/folders/11ActuwABuQPo5XyXL7wnKy07NNjQsckD?usp=sharing,50.00,1,5,149,2021-04-28 03:46:14.267864,2021-06-05 03:45:35.852372,"","","","",""
221,1703,"",50.42,1,5,166,2021-06-19 14:51:04.810712,2021-06-19 14:51:04.810712,"","","","",""
222,1704,"",41.79,1,5,166,2021-06-19 14:51:04.812722,2021-06-19 14:51:04.812722,"","","","",""
227,776,"",79.00,1,5,170,2021-07-01 11:28:08.474695,2021-07-01 11:28:08.474695,"","","","",""
228,198-38,"",99.00,1,1,164,2021-07-01 13:40:54.894805,2021-07-01 13:40:54.894805,"","","","",""
229,58-15,"",78.00,1,5,171,2021-07-15 23:52:14.257641,2021-07-15 23:52:54.691578,"","","","",""
230,492-11,"",71.00,1,3,172,2021-07-18 13:41:57.560635,2021-07-18 13:41:57.560635,"","","","",""
231,927,"",150.00,1,12,173,2021-07-18 14:55:45.239204,2021-07-18 14:55:45.239204,"","","","",""
232, 934-6,"",48.00,1,4,174,2021-07-21 23:45:14.086633,2021-07-21 23:45:14.086633,"","","","",""
234,94-21 ,"",11.00,2,3,177,2021-07-25 07:20:35.688855,2021-07-25 07:20:35.688855,"","","","",""
235,94-31,"",34.00,2,3,177,2021-07-25 07:20:35.69089,2021-07-25 07:20:35.69089,"","","","",""
236,394-17 ,"",47.00,1,2,178,2021-07-25 07:41:38.976676,2021-07-25 07:41:38.976676,"","","","",""
233,1609,"",146.00,1,36,175,2021-07-23 13:42:06.998925,2021-07-26 00:17:20.107724,"",73947,"","",""
237,1129-1,"",48.00,1,2,179,2021-07-30 12:21:40.548059,2021-07-30 12:21:40.548059,"","","","",""
238,190 ,"",86.57,1,2,181,2021-07-30 14:25:10.291411,2021-07-30 14:25:10.291411,"","","","",""
239,190-1 ,"",3.84,1,2,181,2021-07-30 14:25:10.293637,2021-07-30 14:25:10.293637,"","","","",""
240,522 ,"",72.46,1,2,182,2021-07-30 14:34:06.376284,2021-07-30 14:34:06.376284,"","","","",""
241,902,"",106.29,1,2,180,2021-07-31 00:43:17.375881,2021-07-31 00:43:17.375881,"","","","",""
242,903,"",144.52,1,2,180,2021-07-31 00:43:17.380417,2021-07-31 00:43:17.380417,"","","","",""
243,1135,"",3848.68,13,10000,183,2021-08-04 12:47:13.84394,2021-08-04 12:47:13.84394,"","","","",""
